#decay	# windows in store	# elements in stream	query	age class	length class	error:mean	latency:p95	ci-width:p95	ci-miss-rate
rationalPower1,4,16,1	889	313814094	BF	subsecond	minutes	0.000000	0.000500	0.065135	0.000000
rationalPower1,4,16,1	889	313814094	BF	subsecond	hours	0.000000	0.000500	0.031742	0.000000
rationalPower1,4,16,1	889	313814094	BF	subsecond	days	0.000000	0.000000	0.019124	0.000000
rationalPower1,4,16,1	889	313814094	BF	subsecond	months	0.000000	0.000000	0.017540	0.000000
rationalPower1,4,16,1	889	313814094	BF	subsecond	years	0.000000	0.001000	0.010000	0.000000
rationalPower1,4,16,1	889	313814094	BF	seconds	seconds	0.070095	0.000500	0.543840	0.000000
rationalPower1,4,16,1	889	313814094	BF	seconds	minutes	0.000000	0.000500	0.074256	0.000000
rationalPower1,4,16,1	889	313814094	BF	seconds	hours	0.000000	0.000500	0.030749	0.000000
rationalPower1,4,16,1	889	313814094	BF	seconds	days	0.000000	0.000500	0.018634	0.000000
rationalPower1,4,16,1	889	313814094	BF	seconds	months	0.000000	0.000500	0.017529	0.000000
rationalPower1,4,16,1	889	313814094	BF	seconds	years	0.000000	0.000000	0.010000	0.000000
rationalPower1,4,16,1	889	313814094	BF	minutes	seconds	0.169492	0.000500	0.968291	0.000000
rationalPower1,4,16,1	889	313814094	BF	minutes	minutes	0.000000	0.000500	0.274067	0.000000
rationalPower1,4,16,1	889	313814094	BF	minutes	hours	0.000000	0.000500	0.042918	0.000000
rationalPower1,4,16,1	889	313814094	BF	minutes	days	0.000000	0.000500	0.022677	0.000000
rationalPower1,4,16,1	889	313814094	BF	minutes	months	0.000000	0.000500	0.016830	0.000000
rationalPower1,4,16,1	889	313814094	BF	hours	seconds	0.179808	0.000500	0.997401	0.000000
rationalPower1,4,16,1	889	313814094	BF	hours	minutes	0.000000	0.000500	0.816492	0.000000
rationalPower1,4,16,1	889	313814094	BF	hours	hours	0.000000	0.000500	0.137275	0.000000
rationalPower1,4,16,1	889	313814094	BF	hours	days	0.000000	0.000500	0.025132	0.000000
rationalPower1,4,16,1	889	313814094	BF	hours	months	0.000000	0.000500	0.016251	0.000000
rationalPower1,4,16,1	889	313814094	BF	days	seconds	0.171245	0.000500	0.999823	0.000000
rationalPower1,4,16,1	889	313814094	BF	days	minutes	0.000000	0.000500	0.984658	0.000000
rationalPower1,4,16,1	889	313814094	BF	days	hours	0.000000	0.000500	0.717957	0.000000
rationalPower1,4,16,1	889	313814094	BF	days	days	0.000000	0.000500	0.086071	0.000000
rationalPower1,4,16,1	889	313814094	BF	days	months	0.000000	0.000500	0.020750	0.000000
rationalPower1,4,16,1	889	313814094	BF	months	seconds	0.177196	0.000500	0.999975	0.000000
rationalPower1,4,16,1	889	313814094	BF	months	minutes	0.000000	0.000000	0.998054	0.000000
rationalPower1,4,16,1	889	313814094	BF	months	hours	0.000000	0.000500	0.944674	0.000000
rationalPower1,4,16,1	889	313814094	BF	months	days	0.000000	0.001000	0.403603	0.000000
rationalPower1,4,16,1	889	313814094	BF	months	months	0.000000	0.002500	0.072256	0.000000
rationalPower1,4,16,1	889	313814094	BF	years	seconds	1.000000	0.000000	1.000000	0.000000
rationalPower1,2,1,1	1428	313814094	BF	subsecond	seconds	0.016949	0.000500	0.215528	0.000000
rationalPower1,2,1,1	1428	313814094	BF	subsecond	minutes	0.000000	0.000500	0.116193	0.000000
rationalPower1,2,1,1	1428	313814094	BF	subsecond	hours	0.000000	0.000000	0.044801	0.000000
rationalPower1,2,1,1	1428	313814094	BF	subsecond	days	0.000000	0.004500	0.017848	0.000000
rationalPower1,2,1,1	1428	313814094	BF	subsecond	months	0.000000	0.000000	0.015032	0.000000
rationalPower1,2,1,1	1428	313814094	BF	subsecond	years	0.000000	0.002000	0.010000	0.000000
rationalPower1,2,1,1	1428	313814094	BF	seconds	seconds	0.078426	0.000500	0.603911	0.000000
rationalPower1,2,1,1	1428	313814094	BF	seconds	minutes	0.000000	0.000500	0.093229	0.000000
rationalPower1,2,1,1	1428	313814094	BF	seconds	hours	0.000000	0.000500	0.038829	0.000000
rationalPower1,2,1,1	1428	313814094	BF	seconds	days	0.000000	0.000500	0.016558	0.000000
rationalPower1,2,1,1	1428	313814094	BF	seconds	months	0.000000	0.000500	0.015021	0.000000
rationalPower1,2,1,1	1428	313814094	BF	seconds	years	0.000000	0.000000	0.010000	0.000000
rationalPower1,2,1,1	1428	313814094	BF	minutes	seconds	0.170641	0.000500	0.971895	0.000000
rationalPower1,2,1,1	1428	313814094	BF	minutes	minutes	0.000000	0.000500	0.324852	0.000000
rationalPower1,2,1,1	1428	313814094	BF	minutes	hours	0.000000	0.000500	0.041408	0.000000
rationalPower1,2,1,1	1428	313814094	BF	minutes	days	0.000000	0.000500	0.018418	0.000000
rationalPower1,2,1,1	1428	313814094	BF	minutes	months	0.000000	0.000500	0.014329	0.000000
rationalPower1,2,1,1	1428	313814094	BF	hours	seconds	0.179808	0.000500	0.997574	0.000000
