#decay	# windows in store	# elements in stream	query	age class	length class	error:mean	latency:mean	ci-width:mean	ci-miss-rate
rationalPower1,4,4,1	302	313814094	SUM	years	seconds	0.984673	0.000000	2.000000	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	subsecond	seconds	0.017227	0.000000	0.063897	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	subsecond	minutes	0.001031	0.000017	0.004608	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	subsecond	hours	0.000132	0.000000	0.000599	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	subsecond	days	0.000016	0.000034	0.000075	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	subsecond	months	0.000004	0.000091	0.000014	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	subsecond	years	0.000000	0.000000	0.000000	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	seconds	seconds	0.032151	0.000001	0.164564	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	seconds	minutes	0.001053	0.000005	0.005002	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	seconds	hours	0.000103	0.000006	0.000593	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	seconds	days	0.000015	0.000022	0.000074	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	seconds	months	0.000004	0.000096	0.000014	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	seconds	years	0.000000	0.000000	0.000000	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	minutes	seconds	0.056094	0.000002	0.290218	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	minutes	minutes	0.002217	0.000003	0.010807	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	minutes	hours	0.000139	0.000008	0.000668	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	minutes	days	0.000016	0.000023	0.000083	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	minutes	months	0.000004	0.000074	0.000015	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	hours	seconds	0.065156	0.000001	0.319632	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	hours	minutes	0.004754	0.000002	0.024306	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	hours	hours	0.000278	0.000004	0.001310	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	hours	days	0.000018	0.000021	0.000090	0.000000
rationalPower1,4,8,1	521	313814094	COUNT	hours	months	0.000003	0.000047	0.000017	0.000000
