#decay	# windows in store	# elements in stream	query	age class	length class	error:mean	latency:mean	ci-width:mean	ci-miss-rate
rationalPower1,2,1,1	1428	313814094	BF	subsecond	months	0.000000	0.000000	0.011529	0.000000
rationalPower1,2,1,1	1428	313814094	BF	subsecond	years	0.000000	0.002000	0.010000	0.000000
rationalPower1,2,1,1	1428	313814094	BF	seconds	seconds	0.078426	0.000029	0.226169	0.000000
rationalPower1,2,1,1	1428	313814094	BF	seconds	minutes	0.000000	0.000011	0.044307	0.000000
rationalPower1,2,1,1	1428	313814094	BF	seconds	hours	0.000000	0.000013	0.021985	0.000000
rationalPower1,2,1,1	1428	313814094	BF	seconds	days	0.000000	0.000032	0.013214	0.000000
rationalPower1,2,1,1	1428	313814094	BF	seconds	months	0.000000	0.000108	0.011526	0.000000
rationalPower1,2,1,1	1428	313814094	BF	seconds	years	0.000000	0.000000	0.010000	0.000000
rationalPower1,2,1,1	1428	313814094	BF	minutes	seconds	0.170641	0.000005	0.715491	0.000000
rationalPower1,2,1,1	1428	313814094	BF	minutes	minutes	0.000000	0.000010	0.107152	0.000000
rationalPower1,2,1,1	1428	313814094	BF	minutes	hours	0.000000	0.000044	0.023497	0.000000
rationalPower1,2,1,1	1428	313814094	BF	minutes	days	0.000000	0.000034	0.013709	0.000000
rationalPower1,2,1,1	1428	313814094	BF	minutes	months	0.000000	0.000037	0.011628	0.000000
rationalPower1,2,1,1	1428	313814094	BF	hours	seconds	0.179808	0.000010	0.954783	0.000000
rationalPower1,2,1,1	1428	313814094	BF	hours	minutes	0.000000	0.000013	0.353217	0.000000
rationalPower1,2,1,1	1428	313814094	BF	hours	hours	0.000000	0.000004	0.048789	0.000000
rationalPower1,2,1,1	1428	313814094	BF	hours	days	0.000000	0.000040	0.014377	0.000000
rationalPower1,2,1,1	1428	313814094	BF	hours	months	0.000000	0.000059	0.011501	0.000000
rationalPower1,2,1,1	1428	313814094	BF	days	seconds	0.171245	0.000023	0.994835	0.000000
rationalPower1,2,1,1	1428	313814094	BF	days	minutes	0.000000	0.000026	0.785463	0.000000
rationalPower1,2,1,1	1428	313814094	BF	days	hours	0.000000	0.000085	0.211593	0.000000
rationalPower1,2,1,1	1428	313814094	BF	days	days	0.000000	0.000077	0.023829	0.000000
rationalPower1,2,1,1	1428	313814094	BF	days	months	0.000000	0.000075	0.012098	0.000000
rationalPower1,2,1,1	1428	313814094	BF	months	seconds	0.177196	0.000042	0.999174	0.000000
rationalPower1,2,1,1	1428	313814094	BF	months	minutes	0.000000	0.000031	0.952981	0.000000
rationalPower1,2,1,1	1428	313814094	BF	months	hours	0.000000	0.000055	0.520013	0.000000
rationalPower1,2,1,1	1428	313814094	BF	months	days	0.000000	0.000082	0.068503	0.000000
rationalPower1,2,1,1	1428	313814094	BF	months	months	0.000000	0.000000	0.016415	0.000000
