#decay	# windows in store	# elements in stream	query	age class	length class	error:mean	latency:mean	ci-width:mean	ci-miss-rate
rationalPower1,4,32,1	1523	313814094	CMS	minutes	hours	0.000848	0.000045	0.004003	0.000000
rationalPower1,4,32,1	1523	313814094	CMS	minutes	days	0.000093	0.000215	0.000460	0.000000
rationalPower1,4,32,1	1523	313814094	CMS	minutes	months	0.000018	0.000464	0.000083	0.000000
rationalPower1,4,32,1	1523	313814094	CMS	hours	seconds	0.402212	0.000004	1.876310	0.000000
rationalPower1,4,32,1	1523	313814094	CMS	hours	minutes	0.036035	0.000004	0.174732	0.000000
rationalPower1,4,32,1	1523	313814094	CMS	hours	hours	0.001391	0.000036	0.007552	0.000000
rationalPower1,4,32,1	1523	313814094	CMS	hours	days	0.000099	0.000163	0.000513	0.000000
rationalPower1,4,32,1	1523	313814094	CMS	hours	months	0.000019	0.000486	0.000094	0.000000
rationalPower1,4,32,1	1523	313814094	CMS	days	seconds	0.457998	0.000001	1.922338	0.000000
rationalPower1,4,32,1	1523	313814094	CMS	days	minutes	0.069356	0.000003	0.335987	0.000000
rationalPower1,4,32,1	1523	313814094	CMS	days	hours	0.005772	0.000003	0.026413	0.000000
rationalPower1,4,32,1	1523	313814094	CMS	days	days	0.000216	0.000029	0.001036	0.000000
rationalPower1,4,32,1	1523	313814094	CMS	days	months	0.000023	0.000335	0.000112	0.000000
rationalPower1,4,32,1	1523	313814094	CMS	months	seconds	0.439848	0.000003	1.927151	0.000000
rationalPower1,4,32,1	1523	313814094	CMS	months	minutes	0.076604	0.000002	0.371896	0.000000
rationalPower1,4,32,1	1523	313814094	CMS	months	hours	0.009920	0.000004	0.050845	0.000000
rationalPower1,4,32,1	1523	313814094	CMS	months	days	0.000461	0.000022	0.002463	0.000000
rationalPower1,4,32,1	1523	313814094	CMS	months	months	0.000049	0.000197	0.000235	0.000000
rationalPower1,4,32,1	1523	313814094	CMS	years	seconds	0.000099	0.000000	2.000000	0.000000
rationalPower1,2,2,1	2278	313814094	CMS	subsecond	seconds	0.030096	0.000000	0.142366	0.000000
rationalPower1,2,2,1	2278	313814094	CMS	subsecond	minutes	0.006155	0.000068	0.026870	0.000000
rationalPower1,2,2,1	2278	313814094	CMS	subsecond	hours	0.000939	0.000304	0.003735	0.000000
rationalPower1,2,2,1	2278	313814094	CMS	subsecond	days	0.000086	0.000621	0.000403	0.000000
rationalPower1,2,2,1	2278	313814094	CMS	subsecond	months	0.000018	0.001273	0.000076	0.000000
rationalPower1,2,2,1	2278	313814094	CMS	subsecond	years	0.000000	0.003000	0.000000	0.000000
rationalPower1,2,2,1	2278	313814094	CMS	seconds	seconds	0.087476	0.000008	0.532547	0.000000
rationalPower1,2,2,1	2278	313814094	CMS	seconds	minutes	0.006984	0.000039	0.029011	0.000000
rationalPower1,2,2,1	2278	313814094	CMS	seconds	hours	0.000765	0.000183	0.003601	0.000000
rationalPower1,2,2,1	2278	313814094	CMS	seconds	days	0.000083	0.000507	0.000404	0.000000
rationalPower1,2,2,1	2278	313814094	CMS	seconds	months	0.000015	0.001376	0.000075	0.000000
rationalPower1,2,2,1	2278	313814094	CMS	seconds	years	0.000000	0.002000	0.000000	0.000000
rationalPower1,2,2,1	2278	313814094	CMS	minutes	seconds	0.306791	0.000005	1.570665	0.000000
rationalPower1,2,2,1	2278	313814094	CMS	minutes	minutes	0.014925	0.000020	0.075976	0.000000
rationalPower1,2,2,1	2278	313814094	CMS	minutes	hours	0.000888	0.000132	0.004270	0.000000
rationalPower1,2,2,1	2278	313814094	CMS	minutes	days	0.000080	0.000454	0.000390	0.000000
rationalPower1,2,2,1	2278	313814094	CMS	minutes	months	0.000015	0.001259	0.000068	0.000000
