#decay	# windows in store	# elements in stream	query	age class	length class	error:mean	latency:p99	ci-width:p99	ci-miss-rate
rationalPower1,2,1,1	1428	313814094	BF	minutes	months	0.000000	0.001000	0.014886	0.000000
rationalPower1,2,1,1	1428	313814094	BF	hours	seconds	0.179808	0.000500	0.999985	0.000000
rationalPower1,2,1,1	1428	313814094	BF	hours	minutes	0.000000	0.000500	0.928833	0.000000
rationalPower1,2,1,1	1428	313814094	BF	hours	hours	0.000000	0.000500	0.278748	0.000000
rationalPower1,2,1,1	1428	313814094	BF	hours	days	0.000000	0.005000	0.029981	0.000000
rationalPower1,2,1,1	1428	313814094	BF	hours	months	0.000000	0.005000	0.014191	0.000000
rationalPower1,2,1,1	1428	313814094	BF	days	seconds	0.171245	0.001500	0.999998	0.000000
rationalPower1,2,1,1	1428	313814094	BF	days	minutes	0.000000	0.001500	0.992284	0.000000
rationalPower1,2,1,1	1428	313814094	BF	days	hours	0.000000	0.001500	0.781285	0.000000
rationalPower1,2,1,1	1428	313814094	BF	days	days	0.000000	0.005000	0.124672	0.000000
rationalPower1,2,1,1	1428	313814094	BF	days	months	0.000000	0.001500	0.019161	0.000000
rationalPower1,2,1,1	1428	313814094	BF	months	seconds	0.177196	0.001500	1.000000	0.000000
rationalPower1,2,1,1	1428	313814094	BF	months	minutes	0.000000	0.001500	0.998680	0.000000
rationalPower1,2,1,1	1428	313814094	BF	months	hours	0.000000	0.005500	0.944084	0.000000
rationalPower1,2,1,1	1428	313814094	BF	months	days	0.000000	0.005000	0.454505	0.000000
rationalPower1,2,1,1	1428	313814094	BF	months	months	0.000000	0.000000	0.046612	0.000000
rationalPower1,2,1,1	1428	313814094	BF	years	seconds	1.000000	0.000000	1.000000	0.000000
rationalPower1,4,32,1	1523	313814094	BF	subsecond	seconds	0.067797	0.002000	0.225747	0.000000
rationalPower1,4,32,1	1523	313814094	BF	subsecond	minutes	0.000000	0.002000	0.115615	0.000000
rationalPower1,4,32,1	1523	313814094	BF	subsecond	hours	0.000000	0.000000	0.025261	0.000000
rationalPower1,4,32,1	1523	313814094	BF	subsecond	days	0.000000	0.002000	0.017696	0.000000
rationalPower1,4,32,1	1523	313814094	BF	subsecond	months	0.000000	0.000000	0.014367	0.000000
rationalPower1,4,32,1	1523	313814094	BF	subsecond	years	0.000000	0.000000	0.010000	0.000000
rationalPower1,4,32,1	1523	313814094	BF	seconds	seconds	0.038495	0.001500	0.630842	0.000000
rationalPower1,4,32,1	1523	313814094	BF	seconds	minutes	0.000287	0.001500	0.078510	0.000000
rationalPower1,4,32,1	1523	313814094	BF	seconds	hours	0.000000	0.001000	0.030981	0.000000
rationalPower1,4,32,1	1523	313814094	BF	seconds	days	0.000000	0.001500	0.017677	0.000000
rationalPower1,4,32,1	1523	313814094	BF	seconds	months	0.000000	0.001500	0.014366	0.000000
rationalPower1,4,32,1	1523	313814094	BF	seconds	years	0.000000	0.000000	0.010000	0.000000
rationalPower1,4,32,1	1523	313814094	BF	minutes	seconds	0.160299	0.003000	0.999940	0.000000
rationalPower1,4,32,1	1523	313814094	BF	minutes	minutes	0.000000	0.001500	0.399764	0.000000
rationalPower1,4,32,1	1523	313814094	BF	minutes	hours	0.000000	0.001500	0.037545	0.000000
rationalPower1,4,32,1	1523	313814094	BF	minutes	days	0.000000	0.001500	0.018835	0.000000
rationalPower1,4,32,1	1523	313814094	BF	minutes	months	0.000000	0.001500	0.014304	0.000000
rationalPower1,4,32,1	1523	313814094	BF	hours	seconds	0.179808	0.001500	0.999968	0.000000
rationalPower1,4,32,1	1523	313814094	BF	hours	minutes	0.000000	0.001500	0.923017	0.000000
rationalPower1,4,32,1	1523	313814094	BF	hours	hours	0.000000	0.001500	0.227071	0.000000
rationalPower1,4,32,1	1523	313814094	BF	hours	days	0.000000	0.001500	0.022481	0.000000
rationalPower1,4,32,1	1523	313814094	BF	hours	months	0.000000	0.002000	0.015596	0.000000
rationalPower1,4,32,1	1523	313814094	BF	days	seconds	0.171245	0.001500	0.999996	0.000000
rationalPower1,4,32,1	1523	313814094	BF	days	minutes	0.000000	0.001500	0.992529	0.000000
rationalPower1,4,32,1	1523	313814094	BF	days	hours	0.000000	0.001500	0.782168	0.000000
rationalPower1,4,32,1	1523	313814094	BF	days	days	0.000000	0.001500	0.135847	0.000000
rationalPower1,4,32,1	1523	313814094	BF	days	months	0.000000	0.002000	0.018100	0.000000
rationalPower1,4,32,1	1523	313814094	BF	months	seconds	0.177196	0.001500	1.000000	0.000000
rationalPower1,4,32,1	1523	313814094	BF	months	minutes	0.000000	0.001500	0.998968	0.000000
rationalPower1,4,32,1	1523	313814094	BF	months	hours	0.000000	0.001500	0.961018	0.000000
rationalPower1,4,32,1	1523	313814094	BF	months	days	0.000000	0.001500	0.529085	0.000000
rationalPower1,4,32,1	1523	313814094	BF	months	months	0.000000	0.002000	0.064523	0.000000
rationalPower1,4,32,1	1523	313814094	BF	years	seconds	1.000000	0.000000	1.000000	0.000000
rationalPower1,2,2,1	2278	313814094	BF	subsecond	seconds	0.067797	0.001000	0.219636	0.000000
rationalPower1,2,2,1	2278	313814094	BF	subsecond	minutes	0.000000	0.002000	0.061106	0.000000
rationalPower1,2,2,1	2278	313814094	BF	subsecond	hours	0.000000	0.000000	0.027681	0.000000
rationalPower1,2,2,1	2278	313814094	BF	subsecond	days	0.000000	0.001000	0.015292	0.000000
rationalPower1,2,2,1	2278	313814094	BF	subsecond	months	0.000000	0.001000	0.011939	0.000000
rationalPower1,2,2,1	2278	313814094	BF	subsecond	years	0.000000	0.000000	0.010000	0.000000
rationalPower1,2,2,1	2278	313814094	BF	seconds	seconds	0.063488	0.001500	0.846941	0.000000
rationalPower1,2,2,1	2278	313814094	BF	seconds	minutes	0.000000	0.001500	0.102902	0.000000
rationalPower1,2,2,1	2278	313814094	BF	seconds	hours	0.000000	0.001500	0.034544	0.000000
rationalPower1,2,2,1	2278	313814094	BF	seconds	days	0.000000	0.001500	0.015213	0.000000
rationalPower1,2,2,1	2278	313814094	BF	seconds	months	0.000000	0.001000	0.011939	0.000000
rationalPower1,2,2,1	2278	313814094	BF	seconds	years	0.000000	0.000000	0.010000	0.000000
rationalPower1,2,2,1	2278	313814094	BF	minutes	seconds	0.168342	0.001500	0.999941	0.000000
rationalPower1,2,2,1	2278	313814094	BF	minutes	minutes	0.000000	0.001500	0.440417	0.000000
rationalPower1,2,2,1	2278	313814094	BF	minutes	hours	0.000000	0.001500	0.044421	0.000000
rationalPower1,2,2,1	2278	313814094	BF	minutes	days	0.000000	0.001500	0.017861	0.000000
rationalPower1,2,2,1	2278	313814094	BF	minutes	months	0.000000	0.001500	0.012200	0.000000
rationalPower1,2,2,1	2278	313814094	BF	hours	seconds	0.179808	0.001500	0.999983	0.000000
rationalPower1,2,2,1	2278	313814094	BF	hours	minutes	0.000000	0.001500	0.910616	0.000000
rationalPower1,2,2,1	2278	313814094	BF	hours	hours	0.000000	0.001500	0.141160	0.000000
rationalPower1,2,2,1	2278	313814094	BF	hours	days	0.000000	0.001500	0.020413	0.000000
rationalPower1,2,2,1	2278	313814094	BF	hours	months	0.000000	0.001500	0.013631	0.000000
rationalPower1,2,2,1	2278	313814094	BF	days	seconds	0.171245	0.001500	0.999996	0.000000
rationalPower1,2,2,1	2278	313814094	BF	days	minutes	0.000000	0.001500	0.988333	0.000000
